rank,peak,all_time_peak,actual_gross,adjusted_gross_in_2022_dollars,artist,tour_title,years,shows,average_gross,shamsi_year,gross_per_show
1,1.0,2.0,780000000.0,780000000.0,Taylor Swift,The Ers Tour,2023,56,13928571.0,1401,13928571.42857143
2,1.0,7.0,579800000.0,579800000.0,Unknown,Renissne Worl Tour,2023,56,10353571.0,1401,10353571.42857143
3,1.0,2.0,411000000.0,560622615.0,Madonna,Stiky & Sweet Tour 4,2008,85,4835294.0,1386,4835294.117647059
4,2.0,10.0,397300000.0,454751555.0,Pink,Beutiful Trum Worl Tour,2018,156,2546795.0,1396,2546794.871794872
6,2.0,10.0,305158363.0,388978496.0,Madonna,The MDNA Tour,2012,88,3467709.0,1390,3467708.6704545454
7,2.0,0.0,280000000.0,381932682.0,Celine Dion,Tking Chnes Worl Tour,2008,131,2137405.0,1386,2137404.580152672
7,0.0,0.0,257600000.0,257600000.0,Pink,Unknown,2023,41,6282927.0,1401,6282926.8292682925
10,0.0,0.0,250400000.0,309141878.0,Taylor Swift,The 1989 Worl Tour,2015,85,2945882.0,1393,2945882.3529411764
11,0.0,0.0,229100000.0,283202896.0,Beyoncé,The Mrs. Crter Show Worl Tour,2013,132,1735606.0,1391,1735606.0606060605
12,0.0,14.0,227400000.0,295301479.0,Lady Gaga,Unknown,2009,203,1118227.0,1387,1120197.0443349753
13,0.0,0.0,204000000.0,251856802.0,Katy Perry,Prismti Worl Tour,2014,151,1350993.0,1392,1350993.3774834438
14,1.0,0.0,200000000.0,299676265.0,Cher,Living Proof: The Frewell Tour 21,2002,325,615385.0,1380,615384.6153846154
15,2.0,0.0,194000000.0,281617035.0,Madonna,Confessions Tour,2006,60,3233333.0,1384,3233333.3333333335
16,0.0,0.0,184000000.0,227452347.0,Pink,The Truth Aout Love Tour,2013,142,1295775.0,1391,1295774.647887324
17,0.0,0.0,170000000.0,213568571.0,Lady Gaga,Born This Wy Bll,2012,98,1734694.0,1390,1734693.8775510204
18,0.0,0.0,169800000.0,207046755.0,Madonna,Reel Hert Tour,2015,82,2070732.0,1393,2070731.7073170731
19,0.0,0.0,167700000.0,204486106.0,Adele,Aele Live 2016,2016,121,1385950.0,1394,1385950.4132231404
20,0.0,0.0,150000000.0,185423109.0,Taylor Swift,The Re Tour,2013,86,1744186.0,1391,1744186.046511628
